Carimbo de data/hora,Quote,Author
2021/12/15 23:28:27,I know it is a dangerous sport but this is something I like.,Charles Leclerc
2021/12/15 23:28:28,"From the beginning when you go into this sport, you know how dangerous it is. It will never be a safe sport.",Charles Leclerc
2021/12/15 23:28:29,"F1 weekends are full of things and any time that you have five minutes, you need to use it as well as possible to calm down.",Charles Leclerc
2021/12/15 23:28:30,My dream as a child was being a world champion.,Charles Leclerc
2021/12/15 23:28:31,"From GP3 to Formula 2, it's obviously a step, but it's only a step on driving I would say. Here from Formula 2 to Formula 1, it's a huge step on driving because we have nearly 400 BHP more, with a lot more downforce. So it's a completely different car.",Charles Leclerc
2021/12/15 23:28:32,"You cannot deliver to your maximum if you're thinking 'if I do an error, it might close a door to somewhere' or whatever.",Charles Leclerc
2021/12/15 23:28:33,"Somehow when I am at the racetrack, I don't really realise what is happening and I just focus on the job.",Charles Leclerc
2021/12/15 23:28:34,"Twitch is something I never thought I'd enjoy and I never saw myself doing. But actually I really enjoyed it. For the people that follow me, I think it's the closest you can get to the real me.",Charles Leclerc
2021/12/15 23:28:36,There will always be some corners which are challenging and more dangerous than others.,Charles Leclerc
2021/12/15 23:28:37,"The atmosphere in Sochi is unusual, in that we are surrounded by the Olympic complex. It is special to compete at a location that has played such a big part in international sporting history, which gives this place a unique feeling.",Charles Leclerc
2021/12/15 23:28:38,"I always set the bar very high, not in terms of results but most in terms of preparation and focusing on the job there is to do in the car.",Charles Leclerc
2021/12/15 23:28:39,Obviously being third in the Formula 1 world championship would be crazy.,Charles Leclerc
2021/12/15 23:28:41,"Desire is the key to motivation, but it's determination and commitment to an unrelenting pursuit of your goal - a commitment to excellence - that will enable you to attain the success you seek.",Mario Andretti
2021/12/15 23:28:42,"If you're so afraid of failure, you will never succeed. You have to take chances.",Mario Andretti
2021/12/15 23:28:43,"Desire is the key to motivation, but it's the determination and commitment to unrelenting pursuit of your goal - a commitment to excellence - that will enable you to attain the success you seek.",Mario Andretti
2021/12/15 23:28:44,"Whenever you're aggressive, you're at the edge of mistakes.",Mario Andretti
2021/12/15 23:28:45,"If you wait, all that happens is that you get older.",Mario Andretti
2021/12/15 23:28:46,A racing car is an animal with a thousand adjustments.,Mario Andretti
2021/12/15 23:28:47,I love all motor sports at the top level.,Mario Andretti
2021/12/15 23:28:49,"You do a period of go-karting until you're at the age of qualifying for a ride in a 'school-kart,' then you qualify for driving school. And several of the driving schools have a competition series for their own students.",Mario Andretti
2021/12/15 23:28:50,Anybody who can drive and doesn't come out of it a rich man is a fool.,Mario Andretti
2021/12/15 23:28:51,"The day of parochialism in sports is over. The world is too small for what people like to call 'the good old days.' Fans want the best, wherever they come from.",Mario Andretti
2021/12/15 23:28:52,I look at myself as the luckiest man alive.,Mario Andretti
2021/12/15 23:28:53,Nobody had race savvy like Al Unser in his prime.,Mario Andretti
2021/12/15 23:28:54,"I count my blessings every day, quite honestly, because I take nothing for granted.",Mario Andretti
2021/12/15 23:28:55,Long Beach is the best. I tell everyone that.,Mario Andretti
2021/12/15 23:28:56,"The man upstairs is pushing the buttons, and if your name happens to be on that button, well, thank you.",Mario Andretti
2021/12/15 23:28:57,"I lived the true American dream, because I was able to pursue what I set as my goals at a very young age.",Mario Andretti
2021/12/15 23:28:59,"It seemed like whenever I got a bona fide offer from Ferrari, I couldn't do it. And vice versa - when I was ready, their seats were taken. We always had a relationship, but what's important is that I pretty much started my F1 career with them and ended it there, too.",Mario Andretti
2021/12/15 23:29:00,"Al Unser Sr. was one of the smartest drivers I've ever raced against. And I often said, I wish I could've had some of his patience. I know it would have worked for me many times.",Mario Andretti
2021/12/15 23:29:01,"Unfortunately, we don't educate drivers enough to be respectful on the road.",Mario Andretti
2021/12/15 23:29:02,"Quite honestly, I treat myself with cars I really want to drive, and I have some flexibility to do that.",Mario Andretti
2021/12/15 23:29:04,"You do the best you can with what's thrown at you, then you try again.",Mario Andretti
2021/12/15 23:29:05,Not all teammates tell the truth.,Mario Andretti
2021/12/15 23:29:06,"The most important thing at Daytona is, are you going to have friends willing to work with you during the race as far as drafting? You've got to have friends out there. You can't do it alone. You form those relationships as the race moves along.",Mario Andretti
2021/12/15 23:29:07,Can the U.S. support two Formula 1 races? I think so.,Mario Andretti
2021/12/15 23:29:08,"If the Indy Racing League didn't have the Indianapolis 500, do you think it would have lasted more than six months? No chance.",Mario Andretti
2021/12/15 23:29:09,Foreign players is what makes golf so popular now.,Mario Andretti
2021/12/15 23:29:10,"I don't remember as a kid wanting to do or be anything else but drive something, be a race driver.",Mario Andretti
2021/12/15 23:29:12,"There's something special about racing in real streets. The 'artificial' circuits have a certain sameness to them. But every race conducted on real streets has a character of its own - Barcelona, Monaco, and now Long Beach.",Mario Andretti
2021/12/15 23:29:13,The banked oval tracks are obsolete tracks for Indy cars.,Mario Andretti
2021/12/15 23:29:14,Age doesn't affect driving - how do you like that?,Mario Andretti
2021/12/15 23:29:15,"I still have the competitive spirit, which is good.",Mario Andretti
2021/12/15 23:29:16,"My wife loves football, but I think she's resigned to the fact that I'll never make it there.",Mario Andretti
2021/12/15 23:29:17,"At Indy, we are the NASA of the production-car world, and that's clearly why manufacturers are involved - it's such a good testbed.",Mario Andretti
2021/12/15 23:29:18,"All of the courses that run through real streets are very demanding. There is no room for error, no shoulders to lean on. If you go off the road, you're into somebody's shop-window or front porch.",Mario Andretti
2021/12/15 23:29:19,"If everything seems under control, you're just not going fast enough.",Mario Andretti
2021/12/15 23:29:21,"Do it no matter what. If you believe in it, it is something very honorable. If somebody around you or your family does not understand it, then that's their problem. But if you do have a passion, an honest passion, just do it.",Mario Andretti
2021/12/15 23:29:22,"Circumstances may cause interruptions and delays, but never lose sight of your goal.",Mario Andretti
2021/12/15 23:29:23,Everything comes to those who wait... except a cat.,Mario Andretti
2021/12/15 23:29:24,"As far as I'm concerned, Parnelli Jones was the greatest driver of his era. He had aggressiveness and also a finesse that no one else possessed. And he won with everything he put his hands on, including off-road.",Mario Andretti
2021/12/15 23:29:26,"I've always said, 'I didn't have a Plan B in life.' I was in pursuit of my dream from the very beginning. It's all about desire and passion. At all costs.",Mario Andretti
2021/12/15 23:29:27,Staging Formula One is incredibly expensive.,Mario Andretti
2021/12/15 23:29:28,"What I learned is that in business you must make decisions based on facts, not react with your heart.",Mario Andretti
2021/12/15 23:29:29,"With tennis, you can go pick up a racket, take a lesson, and understand how much talent and skill it takes to be as good as the top pros. Same with golf: pick up a club. But not many can go out and get in a race car and experience a drive at over 200 miles an hour.",Mario Andretti
2021/12/15 23:29:30,"When you start thinking you may get hurt, it's time to get out of racing.",Mario Andretti
2021/12/15 23:29:31,"My last race was at Le Mans in 2000, my first race was in 1959, so I dodged a lot of bullets along the way, I can tell you that.",Mario Andretti
2021/12/15 23:29:32,"In NASCAR, you can do a lot of banging around and get pretty serious and even get yourself upside down. All of those things can happen - and then you give an interview two seconds later.",Mario Andretti
2021/12/15 23:29:33,You dream what you're supposed to do.,Mario Andretti
2021/12/15 23:29:34,"I see all these old people who don't have anything to do but eat, drink and sleep. I will never say 'retired' because that's such a finality that I don't want to be part of my life. I'll work until they throw me in a box.",Mario Andretti
2021/12/15 23:29:36,Nothing compares to the Indianapolis 500.,Mario Andretti
2021/12/15 23:29:37,"You see people in the left lane, and as long as they are on the speed limit, they stay there. Get in the right lane and let people pass you - let the police worry about somebody who wants to speed. Don't force them pass in the right lane and zig zag, which can create an accident, just because you think you're correct.",Mario Andretti
2021/12/15 23:29:38,"I love technology - yes, I have fallen in love with older cars, but I'm all for new technology.",Mario Andretti
2021/12/15 23:29:39,I like to think that the Grand Prix helped Long Beach to pretty much change its image.,Mario Andretti
2021/12/15 23:29:40,I wanted to have a career that would last a hundred years if possible.,Mario Andretti
2021/12/15 23:29:41,"When a car's ahead of you, as long as you can see it, you get a tow, just like the draft in NASCAR. Even if it's a long ways down the track, it punches a hole in the air that has to help. When you're running alone, you can feel the difference, and it shows on the clock, too.",Mario Andretti
2021/12/15 23:29:42,"Whatever the changes, from one era to the next, Pocono has maintained its character and significance to me, and it always will. My family shares this sentiment.",Mario Andretti
2021/12/15 23:29:43,"I wish we could be 100% shielded from danger, but nothing is in life.",Mario Andretti
2021/12/15 23:29:44,"From a prestige standpoint, the U.S. needs to host Formula 1. And I think Formula 1, they know they need the U.S. as well. So many companies that are global are based in the United States support Formula 1.",Mario Andretti
2021/12/15 23:29:45,It makes great conversation to discuss what's wrong with open-wheel racing today.,Mario Andretti
2021/12/15 23:29:47,I don't have any feeling of accomplishment about anything unless there's a lot of risk to it.,Mario Andretti
2021/12/15 23:29:49,"In the end, I think in F1 it is very hard for a girl.",Max Verstappen
2021/12/15 23:29:50,"Mistakes happen, and they happen to the best of us.",Max Verstappen
2021/12/15 23:29:51,The only place that matters is first.,Max Verstappen
2021/12/15 23:29:52,"I always try to get the best result out of it, I'm not there to just sit second or sit third. I'm a winner, and I want to win every single race, and I will always go for it.",Max Verstappen
2021/12/15 23:29:53,"The smell of fuel, driving on the limit on the edge of sliding, it just gives you a lot of adrenaline.",Max Verstappen
2021/12/15 23:29:55,"If you start doubting yourself like that, thinking, 'Am I good enough?' - maybe there is a reason you're thinking that.",Max Verstappen
2021/12/15 23:29:57,"When I was very little, my dad had his own go kart team as well while he was still in F1, so I always joined and riding through the paddock on my bicycle.",Max Verstappen
2021/12/15 23:29:58,"To be honest, I never compare myself with the rookies.",Max Verstappen
2021/12/15 23:29:59,"Of course you learn from certain moments, and you always get more and more experience, so maybe in the future you will do some different things, but in general, the basics always stay the same.",Max Verstappen
2021/12/15 23:30:00,You always want to do better than last year.,Max Verstappen
2021/12/15 23:30:01,"Of course my dad went to Formula One, so I think that my dad is the better driver of the two. But I think, for a girl, my mom was not too bad, of course.",Max Verstappen
2021/12/15 23:30:03,"You have to be patient: trust the team, that they can deliver a good job.",Max Verstappen
2021/12/15 23:30:04,"I've raced at the Hungaroring in Formula 3, and it's a bit of a Mickey Mouse track.",Max Verstappen
2021/12/15 23:30:06,"You always try to fight for yourself, isn't it? You try to do the best possible job.",Max Verstappen
2021/12/15 23:30:07,I'm normally not really an angry person. Maybe some other people have a different opinion.,Max Verstappen
2021/12/15 23:30:08,"I think it's always better to be in an F1 car because, in general, the car behaves itself.",Max Verstappen
2021/12/15 23:30:09,I want to rely on my gut feeling. Isn't that what made great race drivers in the end?,Max Verstappen
2021/12/15 23:30:11,"I've always been good at realising what went wrong and stuff, and I was always being able to look at the positives from it.",Max Verstappen
2021/12/15 23:30:12,"I have good people around me, so I always have advice. A lot of people can talk to me, but it's me, of course, who still has to take that to the track and to perform.",Max Verstappen
2021/12/15 23:30:14,"I think it is very important to not be too much on social media. You have a lot of positive comments but also negative ones, and at the end of the day, that shouldn't affect you, but it is much more important not to read it so you just don't know.",Max Verstappen
2021/12/15 23:30:15,I tell my engineers that they should not overload me with information.,Max Verstappen
2021/12/15 23:30:17,"Sometimes I watch a football match, and I think I know better, but at the end of the day, we don't. So I think people need to appreciate more what we are trying to achieve in the car.",Max Verstappen
2021/12/15 23:30:18,"I grew up going to race rings, and I really enjoyed it.",Max Verstappen
2021/12/15 23:30:19,"I want to win because I am the fastest out there instead, not by luck; then it means a lot more to you.",Max Verstappen
2021/12/15 23:30:21,I was never Mad Max. I was just Max who was trying to get the best result for the team.,Max Verstappen
2021/12/15 23:30:22,"To be honest, it doesn't matter who is next to me in whatever team.",Max Verstappen
2021/12/15 23:30:23,"To just slow yourself down, just to not do anything and drive around - I'm not like that. I'm not here to fill up the field.",Max Verstappen
2021/12/15 23:30:24,"I focus on myself, but all these stupid comments you read on social media and journalists, it's really stupid.",Max Verstappen
2021/12/15 23:30:25,"If you are a bit weak in your head, maybe you can train your mind, but it will never be your strong point.",Max Verstappen
2021/12/15 23:30:26,"As a driver, it is important to focus on yourself and believe in yourself, and there shouldn't be a reason why, when you are in F1 and there is more attention, you change your approach.",Max Verstappen
2021/12/15 23:30:27,"Of course I am doing a good job, but you can always improve, and I just leave it up to people outside, around me or whatever, to judge on that.",Max Verstappen
2021/12/15 23:30:28,"As a driver, I will always be the same guy.",Max Verstappen
2021/12/15 23:30:29,I think you can improve on everything; you're never perfect.,Max Verstappen
2021/12/15 23:30:31,My career is more important than girls.,Max Verstappen
2021/12/15 23:30:33,"It changes from track-to-track, but when you are behind someone, you know after a few laps where they are weaker and stronger around the lap. You try to position yourself in the best possible way to attack them at a point they don't expect or at the point that they are just not as strong as you. That's how you try to get past.",Max Verstappen
2021/12/15 23:30:34,"Many people ask, 'What do you need mentally to succeed in F1?' I say, 'What do you mean mentally?'",Max Verstappen
2021/12/15 23:30:35,I just want to do the best I can every time.,Max Verstappen
2021/12/15 23:30:36,"You always have to believe in yourself, and I had that from karting.",Max Verstappen
2021/12/15 23:30:38,The world championship is what I am here for.,Max Verstappen
2021/12/15 23:30:39,"That's what I enjoy, always driving on the limit of what you can do.",Max Verstappen
2021/12/15 23:30:40,"If you are not allowed to defend, what's racing about, then?",Max Verstappen
2021/12/15 23:30:41,We are getting way too much info in the cockpit. Sometimes I switch off the display in my car!,Max Verstappen
2021/12/15 23:30:42,"It is very unfair, and on social media you have all these keyboard warriors who just type something, and they never say it to my face. That's very weak I find.",Max Verstappen
2021/12/15 23:30:43,"Of course there will be difficult times, and there will be more in the future, but I know what I have to do in the car.",Max Verstappen
2021/12/15 23:30:44,"For me, it doesn't matter if you are fighting a world champion or not.",Max Verstappen
2021/12/15 23:30:46,"People always think they know better. In football, everybody thinks they can be head coach and do it better. It's the same in F1: they always know better, even if they have no experience of it.",Max Verstappen
2021/12/15 23:30:47,"I say what I think, and if somebody attacks me unfairly, I definitely tell them.",Max Verstappen
2021/12/15 23:30:49,"There is no such thing as a low risk lap in Monaco. It doesn't exist if you want to be fast, because you have to be on the limit.",Max Verstappen
2021/12/15 23:30:50,I get really tired of all the comments saying I should change my approach.,Max Verstappen
2021/12/15 23:30:51,I never even think of the mental side of things because I never had any issues.,Max Verstappen
2021/12/15 23:30:52,"It's just racing. Sometimes you have difficult moments, and then you try to work hard, and you keep working hard, and you overcome the situation. It's as simple as that.",Max Verstappen
2021/12/15 23:31:02,"In general, the spotlight has been on me.",Max Verstappen
2021/12/15 23:31:03,It is not because others tell me I have to change my driving style that I will change.,Max Verstappen
2021/12/15 23:31:04,Overtaking is one thing. That is an art. But defending as well. You should be able to defend your position.,Max Verstappen
2021/12/15 23:31:05,I did like history. I was always quite interested and got good grades as well.,Max Verstappen
2021/12/15 23:31:06,"I always wanted to be a racing driver. Even if it was not F1, it would be something else.",Max Verstappen
2021/12/15 23:31:08,"It doesn't matter as long as, at one point, I'm in a championship-winning car. I don't care about my team-mate.",Max Verstappen
2021/12/15 23:31:10,"My dad always told me you have to be as quick as you can straight away out of the box. Some people say, 'Feel your way into it; build it up.' No. My dad would say, 'Straight away, you have to be there.' And I think that helps to warm up your tyres and brakes to be on it a bit more from lap one.",Max Verstappen
2021/12/15 23:31:11,"I think, in general, not only in Formula One but just in a lot of sports, when younger people come in and they do well, there's always a bit of talk going on. I think that's pretty normal.",Max Verstappen
2021/12/15 23:31:13,"The way I drive, the way I handle a car, is an expression of my inner feelings.",Lewis Hamilton
2021/12/15 23:31:14,"Everyone has complicated lives, but the more you can simplify it and make it work for you, the better it is going to be.",Lewis Hamilton
2021/12/15 23:31:15,"I feel like people are expecting me to fail; therefore, I expect myself to win.",Lewis Hamilton
2021/12/15 23:31:16,I've accomplished more than I ever dreamed. But I'm hungry for more.,Lewis Hamilton
2021/12/15 23:31:17,You just need to be accepted for who you are and be proud of who you are and that is what I'm trying to do.,Lewis Hamilton
2021/12/15 23:31:19,Everyone loves a winner. That's just how the world is. And Ayrton Senna was one of the greatest winners this sport has ever had.,Lewis Hamilton
2021/12/15 23:31:20,"Generally, I hate training - just like most people, I guess. I try to make it fun and varied.",Lewis Hamilton
2021/12/15 23:31:21,I want to crush everyone. I want to outsmart everyone.,Lewis Hamilton
2021/12/15 23:31:22,Every lap is different.,Lewis Hamilton
2021/12/15 23:31:23,"My daily breakfast is two poached eggs in the morning with half an avocado, and I get to have half a piece of toast.",Lewis Hamilton
2021/12/15 23:31:24,"I had a lot of racism growing up where I grew up. Bullied at school. It definitely encouraged me. It's like battle wounds - you come out the other side, and it just makes you tougher.",Lewis Hamilton
2021/12/15 23:31:26,"When I was a kid and Christmas was coming up, my dad would ask me what I wanted, and I always said a motorbike. I kept asking for one, and he said it was too dangerous and bought me a go-kart instead.",Lewis Hamilton
2021/12/15 23:31:27,I hate losing. It doesn't matter if it's racing or playing Ping-Pong - I hate it.,Lewis Hamilton
2021/12/15 23:31:28,"I get kids from all different cultures and nationalities coming up to me now, all wanting to be F1 drivers. They feel the sport is open to everyone.",Lewis Hamilton
2021/12/15 23:31:30,"I usually sleep four or five hours, but when you are training, you need more than that.",Lewis Hamilton
2021/12/15 23:31:31,F1 is about the best drivers competing against each other for the best teams producing the best cars they can.,Lewis Hamilton
2021/12/15 23:31:32,"If I don't travel, if I stay at home for a week, I would go out of my mind. That is just the way I am. I love to be on the move, and I am fortunate that I have friends all over the world.",Lewis Hamilton
2021/12/15 23:31:33,"Nothing can really prepare you for when you get in the Formula One car. Knowing that you're driving a multimillion-dollar car, and if you crash it it's going to cost a lot of money, and they might not give you another chance, is scary.",Lewis Hamilton
2021/12/15 23:31:35,Sometimes it takes time to find people in the sport who share the same opinions and approach to racing as me.,Lewis Hamilton
2021/12/15 23:31:36,You save most fuel by lifting and coasting in the heavy braking zones at the end of long straights into slow corners.,Lewis Hamilton
2021/12/15 23:31:37,"Racing is what I love, so it's pretty simple. I want to keep doing it and keep winning.",Lewis Hamilton
2021/12/15 23:31:39,"I feel equal to Mexicans, Asians, everyone. That's the kind of positive message I want to get out.",Lewis Hamilton
2021/12/15 23:31:40,"I'm an extremist so I'm either hated or loved. I think it's down to when I first got to Formula One not always knowing what I was saying, saying things that mean one thing but people were taking the other way and then people don't forget.",Lewis Hamilton
2021/12/15 23:31:41,"I'm keen on hiking. And in Monaco, I also like water skiing, wakeboarding, and jet-skiing, which are all pretty good for your arms, legs, and core stability.",Lewis Hamilton
2021/12/15 23:31:42,"When you're driving on a normal track, you can see the braking point from 500 m. away.",Lewis Hamilton
2021/12/15 23:31:43,What people tend to forget is the journey that I had getting to Formula One. There were plenty of years where I had to learn about losing and having bad races.,Lewis Hamilton
2021/12/15 23:31:44,Ayrton Senna was an incredible legend who will be remembered and admired forever.,Lewis Hamilton
2021/12/15 23:31:45,I am a motorbike fanatic - always have been. It's actually what I wanted to do before I got into motor racing.,Lewis Hamilton
2021/12/15 23:31:46,"People might not know, but F1 drivers have new helmets made throughout the season. Usually, the design is the same, but I like to do something special for Monaco.",Lewis Hamilton
2021/12/15 23:31:47,I don't believe I have a playboy life.,Lewis Hamilton
2021/12/15 23:31:48,"I'm no less focused than any of my peers. They live a different life. They go home; they are not pictured at events. I train just as much as them, maybe more.",Lewis Hamilton
2021/12/15 23:31:50,"I'm definitely conscious of time. I already waste so much of it, just on a flight. I look back to when I was 13, and I wish I had stuck with my piano studies.",Lewis Hamilton
2021/12/15 23:31:51,"You can knock me down, but I get up twice as strong.",Lewis Hamilton
2021/12/15 23:31:52,I don't aspire to be like other drivers - I aspire to be unique in my own way.,Lewis Hamilton
2021/12/15 23:31:53,It's important for everyone to stand up for what they believe in.,Lewis Hamilton
2021/12/15 23:31:54,I'm willing to take any amount of pain to win.,Lewis Hamilton
2021/12/15 23:31:55,"Tupac is my favorite artist, and he had mad style.",Lewis Hamilton
2021/12/15 23:31:56,"As a driver, you've always got to believe in your heart that you've got what it takes to win it. You've always got to believe in yourself. You've always got to arrive on the day and believe it can happen. You've always got to believe in the positives.",Lewis Hamilton
2021/12/15 23:31:57,"On my back, I have the cross and angel wings: rise above it, no matter what life throws at you. And also, you know, Jesus rose from the grave.",Lewis Hamilton
2021/12/15 23:31:59,Every person I have met who has gone vegan says it is the best decision they have ever made.,Lewis Hamilton
2021/12/15 23:32:00,"I listen to music before every race. Generally, there will be a song I'll get into over the weekend, and I play it all weekend, particularly when I'm getting ready for a race.",Lewis Hamilton
2021/12/15 23:32:01,"I think it's a shame that people are so quick to put you in a box; sometimes it's as if you do one thing, and that's all you're allowed to do.",Lewis Hamilton
2021/12/15 23:32:03,"When I first started in Formula 1, I tried to ignore the fact I was the first black guy ever to race in the sport. But, as I've got older, I've really started to appreciate the implications.",Lewis Hamilton
2021/12/15 23:32:04,There have been some ups and downs. I've not always had it my own way. That's the way racing is supposed to be.,Lewis Hamilton
2021/12/15 23:32:05,"Going for a really long run, a bike ride, or cross-country skiing helps me get away from all the noise. I tell myself, 'The pain you're feeling, just enjoy it because it's going to help you across that finish line first.' If you're having a crap day, go for a run. It makes a big difference.",Lewis Hamilton
2021/12/15 23:32:06,"I like taking risks. I like trying new things, whether it be style or restaurants or whatever.",Lewis Hamilton
2021/12/15 23:32:07,"I don't drive by the seat of my pants and happen to win races. I work very hard to interpret the data and drive a certain way. My engineers have confidence in me, and more often than not, when I tell them what I need or what I am feeling with the car, it's right.",Lewis Hamilton
2021/12/15 23:32:09,Ayrton Senna was my favorite driver who I wanted to be like.,Lewis Hamilton
2021/12/15 23:32:10,"I relate my life a lot to 'Cool Runnings,' the movie.",Lewis Hamilton
2021/12/15 23:32:11,We have to be extremely fit to race in F1.,Lewis Hamilton
2021/12/15 23:32:12,"All in all, racing with lift and coast is actually harder.",Lewis Hamilton
2021/12/15 23:32:13,"Since I started driving in F1 in 2006-07, the cars have got slower and easier to drive.",Lewis Hamilton
2021/12/15 23:32:14,"When I was really young, I busted my nose when I was racing. The first thing my dad asked me was: 'Are you OK?' I said, 'Can you fix the car for tomorrow?' And I won the race the next day.",Lewis Hamilton
2021/12/15 23:32:15,"Despite the name, 'lift and coast' does not mean cruising. You're trying to be as fast as you can, and you're still going through the corner on the limit, but you have to approach the corner slightly differently; otherwise, you won't make the end of the race.",Lewis Hamilton
2021/12/15 23:32:16,"It is open for anyone to have freedom of speech, and I guess we can all play a role in trying to make a difference in the world. Particularly if your leader is not helping in that area.",Lewis Hamilton
2021/12/15 23:32:17,Equalising performance between teams runs completely counter to the idea of F1 and would be very unfair for us.,Lewis Hamilton
2021/12/15 23:32:18,"People say I have an aggressive style, and sometimes I don't think that is all just me. I think it's partly because I watched Senna when I was young, and I thought, 'This is how I want to drive when I get the opportunity.'",Lewis Hamilton
